Tipo GLPI,Categoria GCC,Campo GLPI,Campo GCC,Tipo do Valor,Origem,Exibição Atual,Edição Atual no GCC,Suporte GLPI,Permissão Necessária,Validação,Evidência,Pendência
Computer,chromebook_display,name,nome,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,Sprint 3
Computer,chromebook_display,serial,serial,string,GLPI,exibido,editável (string),Sim,computadores/edit,Filtro trim,AssetWriteService.filterEditableFields,Sprint 3
Computer,projector,id,glpiId,int,GLPI,readonly,readonly,Sim,projetores/view,Campo retornado por expand_dropdowns,mappers.php:96-122,--
Computer,projector,name,nome,string,GLPI,exibido,somente leitura,Sim,projetores/view,Filtro trim,mappers.php:96-122,Editável apenas via projectors.json
Computer,projector,serial,serial,string,GLPI,exibido,somente leitura,Sim,projetores/view,Filtro trim,mappers.php:96-122,--
Computer,projector,otherserial,patrimonio,string,GLPI,exibido,somente leitura,Sim,projetores/view,Filtro trim,mappers.php:96-122,--
Computer,projector,contact,nome_alternativo_usuario,string,GLPI,exibido,somente leitura,Sim,projetores/view,rawString,mappers.php:98,--
Computer,projector,contact_num,numero_nome_alternativo_usuario,string,GLPI,exibido,somente leitura,Sim,projetores/view,rawString,mappers.php:99,--
Computer,projector,comment,comentario,string,GLPI,exibido,somente leitura,Sim,projetores/view,rawString,mappers.php:100,--
Computer,projector,locations_id,reparticao,string (derivada),GLPI+GCC,derivada,somente leitura,Sim,projetores/view,projectorLocation() combina GLPI+comment+name,mappers.php:145-203,--
Computer,projector,users_id,usuario,string (label),GLPI,exibido,somente leitura,Sim,projetores/view,extractName converte para label,mappers.php:116,--
Computer,projector,computermodels_id,modelo,string (label),GLPI,exibido,somente leitura,Sim,projetores/view,extractName converte para label,mappers.php:117,--
Computer,projector,states_id,status,string (label),GLPI,exibido,somente leitura,Sim,projetores/view,status() mapeia,mappers.php:108,--
GCC-only,projector,horas_lampada,horas_lampada,int,projectors.json,exibido,editável,--,—,Valor não negativo,projetors.php:301-332,--
GCC-only,projector,vida_util_estimada,vida_util_estimada,int,projectors.json,exibido,editável,--,—,Valor > 0,projetors.php:301-332,--
GCC-only,projector,data_troca_lampada,data_troca_lampada,date,projectors.json,exibido,automático,--,—,Definido por maintenance tipo=lampada,projetors.php:390-393,--
GCC-only,projector,ultima_manutencao,ultima_manutencao,date,projectors.json,exibido,automático,--,—,Definido por maintenance tipo≠lampada≠limpeza,projetors.php:396-398,--
GCC-only,projector,ultima_limpeza,ultima_limpeza,date,projectors.json,exibido,automático,--,—,Definido por maintenance tipo=limpeza,projetors.php:395-396,--
GCC-only,projector,horas_totais,horas_totais,int,projectors.json,exibido,somente leitura,--,—,Acumulado das manutenções,projetors.php:168-217,--
GCC-only,projector,notas,notas,string,projectors.json,exibido,somente leitura,--,—,Campo livre,projetors.php:168-217,--
GCC-only,projector,responsavel_atual,responsavel_atual,string,projectors.json,exibido,somente leitura,--,—,Campo livre,projetors.php:168-217,--
GCC-only,projector,fabricante,fabricante,string,projectors.json,exibido,somente leitura,--,—,Campo livre,projetors.php:168-217,--
GCC-only,projector,data_aquisicao,data_aquisicao,date,projectors.json,exibido,somente leitura,--,—,Campo livre,projetors.php:168-217,--
GCC-derived,projector,percentual_uso,percentual_uso,float,calculado,exibido,readonly,--,—,horas_lampada/vida_util_estimada*100,projetors.php:196-200,--
GCC-derived,projector,alertas,alertas,array,calculado,exibido,readonly,--,—,calculateAlerts,projetors.php:126-159,--
GCC-derived,projector,status_calculado,status_calculado,string,calculado,exibido,readonly,--,—,calculateStatus,projetors.php:105-124,--
Printer,printer,id,glpiId,int,GLPI,readonly,readonly,Sim,impressoras/view,Campo retornado por expand_dropdowns,mappers.php:125-143,--
Printer,printer,name,nome,string,GLPI,exibido,editável (string),Sim,impressoras/edit,Campo direto,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,serial,serial,string,GLPI,exibido,editável (string),Sim,impressoras/edit,Campo direto,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,otherserial,patrimonio,string,GLPI,exibido,editável (string),Sim,impressoras/edit,Campo direto,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,contact,nome_alternativo_usuario,string,GLPI,exibido,editável (string),Sim,impressoras/edit,Campo direto,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,contact_num,numero_nome_alternativo_usuario,string,GLPI,exibido,editável (string),Sim,impressoras/edit,Campo direto,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,comment,comentario,string,GLPI,exibido,editável (string),Sim,impressoras/edit,Campo direto,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,locations_id,reparticao,id (dropdown),GLPI,exibido,editável (dropdown),Sim,impressoras/edit,Requer ID válido da coleção Location,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,users_id,usuario,id (dropdown),GLPI,exibido,editável (dropdown),Sim,impressoras/edit,Requer ID válido da coleção User,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,states_id,status,id (dropdown),GLPI,exibido,editável (dropdown),Sim,impressoras/edit,Requer ID válido da coleção State,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,printermodels_id,modelo,id (dropdown),GLPI,exibido,editável (dropdown),Sim,impressoras/edit,Requer ID válido da coleção PrinterModel,AssetWriteService.filterEditableFields,Sprint 3
Printer,printer,manufacturers_id,fabricante,id (dropdown),GLPI,exibido,editável (dropdown),Sim,impressoras/edit,Requer ID válido da coleção Manufacturer,AssetWriteService.filterEditableFields,Sprint 3
GLPI,computer_cs,Item_Ticket,tickets_por_ativo,array,GLPI,exibido,readonly,Sim,computadores/view,Via /Item_Ticket?itemtype=Computer,tickets.php:39-80,--
GLPI,printer,Item_Ticket,tickets_por_ativo,array,GLPI,exibido,readonly,Sim,impressoras/view,Via /Item_Ticket?itemtype=Printer,tickets.php:62-77,--
GLPI,all,Ticket,chamados,array,GLPI,exibido,criação,Sim,chamados/view|create,POST /Ticket + /Item_Ticket,tickets.php:85-148,--
