Itemtype,Operação,Método,Rota GCC,Rota GLPI,Payload,Retorno Esperado,Permissão GCC,Permissão GLPI,Tratamento de Erros,Impacto Cache,Implementação no GCC,Comprovação,Evidência,Observação
Printer,Excluir (logical),POST,/api/assets/printers/{id}/delete,/Printer/{id} PUT (states_id=Inativo),"--","{ok:true, data:{operation_id, status, before, after}}",impressoras/edit,Printer:UPDATE,"Mesmo tratativa de Computer",Cache do frontend invalidado via callback,Fully implemented,C,"AssetWriteService.delete() → seta states_id via GlpiClient","Exclusão lógica: define states_id=Inativo","states_id resolvido via GlpiClient::getAllWithParams"
Printer,Restaurar,POST,/api/assets/printers/{id}/restore,/Printer/{id} PUT (states_id=Em uso),"--","{ok:true, data:{operation_id, status, before, after}}",impressoras/edit,Printer:UPDATE,"Mesmo tratativa da exclusão",Cache do frontend invalidado via callback,Fully implemented,C,"AssetWriteService.restore() → seta states_id via GlpiClient","Restaura: define states_id=Em uso","states_id resolvido via GlpiClient::getAllWithParams"
Projetor,Listar (basic),GET,/api/assets/projetores,/Computer filtrado,--,"{ok:true, data:[], count:N}",projetores/view,Computer:READ,"Responde::erro 502 se GLPI falhar",Cache classified_assets.json,Fully implemented,C,"endpoints.php:264-277 (via assets/projetores)",Filtra por CAT_PROJETOR
Projetor,Listar (enriquecido),GET,/api/projetors,/Computer filtrado + projectors.json,--,"{ok:true, data:[], count:N, indicators:{}, config:{}}",projetors/view,Computer:READ,"Warning se GLPI falhar; dados parciais",Cache projectors.json carregado,Fully implemented,C,"projetors.php:227-266","Junta GLPI + projectors.json + cálculos"
Projetor,Detalhe,GET,/api/projetors/{id},/Computer/{id}?expand_dropdowns=true,--,"{ok:true, data:{...enriched}}",projetors/view,Computer:READ,"Responde::erro 404 se não encontrado",Sem impacto,Fully implemented,C,"projetors.php:272-295",Busca do GLPI + merge com projectors.json
Projetor,Atualizar horas,PUT,/api/projetors/{id}/lamp,Sem chamada GLPI,"{horas_lampada:N, vida_util_estimada:N}","{ok:true, message, horas_lampada, percentual_uso}",projetors/edit,Não requer,"Responde::erro 422 se negativo",Escrita em projectors.json,Fully implemented,C,"projetors.php:301-332",Salva em projectors.json, sem gravar no GLPI
Projetor,Registrar manutenção,POST,/api/projetors/{id}/maintenance,Sem chamada GLPI,"{tipo, data, responsavel, descricao, horas_lampada_registradas}","{ok:true, message, record:{...}}",projetors/maintenance,Não requer,"Responde::erro 422 se tipo/data vazios",Escrita em projectors.json,Fully implemented,C,"projetors.php:338-409","Cria registro em manutencoes[], atualiza campos de referência"
Projetor,Histórico,GET,/api/projetors/{id}/history,Sem chamada GLPI,--,"{ok:true, data:[], count:N}",projetors/view,Não requer,Sem erro conhecido,Leitura de projectors.json,Fully implemented,C,"projetors.php:415-425",Retorna array manutencoes
Projetor,Alertas,GET,/api/projetors/alerts,/Computer filtrado + projectors.json,--,"{ok:true, data:[], count:N}",projetors/view,Computer:READ,"Warning se GLPI falhar",Sem impacto,Fully implemented,C,"projetors.php:431-463",Agrega alertas de todos os projetores
Projetor,Check,POST,/api/projetors/check,/Computer filtrado + projectors.json,--,"{ok:true, message, results:{...}}",projetors/maintenance,Computer:READ,"Warning se GLPI falhar",Log em data/logs/check_*.json,Fully implemented,C,"projetors.php:469-545",Verificação preventiva com envio de email
Projetor,Config (GET),GET,/api/projetors/config,Sem chamada GLPI,--,"{ok:true, data:{...config}}",projetors/view,Não requer,Sem erro conhecido,Leitura de projectors.json,Fully implemented,C,"projetors.php:551-557",--
Projetor,Config (PUT),PUT,/api/projetors/config,Sem chamada GLPI,"{lamp_life_hours, warning_percentage, ...}","{ok:true, message, data:{...config}}",ADMIN,Não requer,"Responde::erro 422 se valores inválidos",Escrita em projectors.json,Fully implemented,C,"projetors.php:563-612",Apenas ADMIN pode alterar config
Ticket,Listar todos,GET,/api/tickets,/Ticket?expand_dropdowns=true,--,"{ok:true, data:[], count:N}",chamados/view,Ticket:READ,"Responde::erro 502 se GLPI falhar",Sem cache,Fully implemented,C,"tickets.php:14-35",Busca todos com paginação 200
Ticket,Listar por ativo,GET,/api/tickets/asset/{id},/Item_Ticket + /Ticket/{id},--,"{ok:true, data:[], count:N}",chamados/view,Ticket:READ,"Trata 404 individual por ticket",Sem cache,Fully implemented,C,"tickets.php:39-81",Busca Item_Ticket para Computer e Printer
Ticket,Criar,POST,/api/tickets,"/Ticket POST + /Item_Ticket POST","{titulo, descricao, glpiId, itemtype, prioridade, categoria}","{ok:true, data:{ticketId}}",chamados/create,Ticket:CREATE + Item_Ticket:CREATE,"Responde::erro 400/422/502",Sem cache,Fully implemented,C,"tickets.php:85-148",Cria ticket + vincula ao ativo
Ticket,Criar (workflow),POST,/api/tickets/workflow,/Ticket POST + /Item_Ticket POST,"{glpiId, itemtype, assistance, checklist, observations}","{ok:true, data:{ticketId}}",chamados/create,Ticket:CREATE + Item_Ticket:CREATE,"Responde::erro 422 se inválido",Sem cache,Fully implemented,C,"workflow.php:38-109",Cria ticket formatado + vincula
Chamado,Ação assistência,POST,/api/tickets/workflow/assistance-action,Sem chamada GLPI,"{event, assistanceId, assetGlpiId, ...}","{ok:true}",chamados/edit,Não requer,"Responde::erro 422 se inválido",Log em backend,Fully implemented,B,"assistance_action.php:31-60",Apenas validação — não persiste no GLPI
Sync,Completa,POST,/api/sync/run,/Computer + /Printer,--,"{ok:true, data:{total, by_category, sync_info}}",ADMIN,Computer:READ + Printer:READ,"Lock se já executando; preserva dados anteriores em falha",Cache classified_assets.json atualizado,Fully implemented,C,"sync.php:108-221, sync_status.php:37-55",Escrita atômica com lock
Sync,Incremental,POST,/api/sync/incremental,/Computer + /Printer,--,"{ok:true, data:{total, by_category, sync_info}}",ADMIN,Computer:READ + Printer:READ,"Mesma tratativa da completa",Cache classified_assets.json mesclado,Fully implemented,C,"sync.php:233-332, sync_status.php:60-78",Merge por ID com dados existentes
Sync,Status,GET,/api/sync/status,Sem chamada GLPI,--,"{ok:true, data:{indicators}}",computadores/view,Não requer,Sem erro conhecido,Leitura do cache,Fully implemented,C,"sync_status.php:22-32",Retorna indicadores de observabilidade
Sync,Report,GET,/api/sync/report,Sem chamada GLPI,--,"{ok:true, data:{sync_info, stats}}",computadores/view,Não requer,Sem erro conhecido,Leitura de sync_report.json,Fully implemented,C,"sync_status.php:84-90",--
Sync,Cache state,GET,/api/sync/cache-state,Sem chamada GLPI,--,"{ok:true, data:{state, items_count, ...}}",computadores/view,Não requer,Sem erro conhecido,Leitura de classified_assets.json,Fully implemented,C,"sync_status.php:110-117",Retorna estado explícito (valid/stale/empty/etc.)
Assets,Classificados,GET,/api/assets/all,Sem chamada GLPI,--,"{ok:true, data:[], count:N}",computadores/view,Não requer,Sem erro conhecido,Leitura de classified_assets.json,Fully implemented,C,"sync_status.php:95-105",Retorna cache classificado
Assets,Opções (Dropdowns),GET,/api/options/{collection},Depende da coleção,--,"{ok:true, data:[], count:N}",computadores/view,Depende da coleção,"Responde::erro 422 se coleção inválida, 404 se não encontrada",Sem cache,Fully implemented,C,"options.php + OptionsService",11 coleções com allow-list e fixtures,Permissão alterada de settings/view para computadores/view (Sprint 3)
Capabilities,Contrato,GET,/api/capabilities,Sem chamada GLPI,--,"{ok:true, data:{version, assetTypes, endpoints, ...}}",settings/view,Não requer,Sem erro conhecido,Leitura estática do contrato,Fully implemented,C,"capabilities.php + CapabilitiesService v0.3.0","Versão 0.3.0 com writeOperations, dropdowns","Inclui endpoints de escrita, campos editáveis por itemtype, flags creatable/deletable"
Reconcile,Comparar,GET,/api/reconcile/compare,Sem chamada GLPI,--,"{ok:true, data:{gcc_only, glpi_only, mismatched}}",auditoria/view,Não requer,"Responde::erro 502 se GLPI falhar",Cache classified_assets.json usado como fonte,Fully implemented,C,"reconcile.php + ReconcileService","Compara GCC x GLPI e lista divergências",Inclui status: gcc_only, glpi_only, mismatched
Diagnóstico,Comparar,GET,/api/diagnostic/compare,/Computer + /Printer,--,"{ok:true, collections:{...}, summary:{...}}",ADMIN,Computer:READ + Printer:READ,"Responde::erro 502 se GLPI falhar",Sem cache,Fully implemented,C,"diagnostic.php:15-109",Compara GLPI x GCC
Diagnóstico,Exportar,GET,/api/diagnostic/export,/Computer + /Printer,--,"Download JSON",ADMIN,Computer:READ + Printer:READ,"Responde::erro 502 se GLPI falhar",Sem cache,Fully implemented,C,"diagnostic.php:114-178",Exporta todos os registros para conferência
Chat,Perguntar,POST,/api/chat,Sem chamada GLPI,"{message: string}","{ok:true, data:{resposta}}",assistente/chat,Não requer,"Responde::erro 422/500 se OPENAI_API_KEY não configurada",Sem cache,Fully implemented,C,"chat.php:14-178",Usa OpenAI gpt-4o-mini com contexto fixo
Health,Check,GET,/api/health,Sem chamada GLPI,--,"{ok:true, service, time, env}",Público,Não requer,Sem erro conhecido,Sem cache,Fully implemented,C,"endpoints.php:128-135",--
Auth,Google login,POST,/api/auth/google,Sem chamada GLPI,"{credential: JWT}","{ok:true, csrfToken, expiresAt, user}",Público,Não requer,"Responde::erro 401/403/422",Cookie gcc_session definido,Fully implemented,C,"auth.php:9-19, 74-115",Valida JWT via Google tokeninfo
Auth,Demo login,POST,/api/auth/demo,Sem chamada GLPI,"{email, name}","{ok:true, csrfToken, expiresAt, user}",Público (dev only),Não requer,"Responde::erro 404 em produção",Cookie gcc_session definido,Fully implemented,C,"auth.php:22-42",Apenas em ambiente não-produção
Auth,Logout,POST,/api/auth/logout,Sem chamada GLPI,--,"{ok:true, message}",Autenticado,Não requer,Sem erro conhecido,Cookie invalidado,Fully implemented,C,"auth.php:44-48",--
